model_id,monthly_downloads,total_downloads
mradermacher/Qwen2.5-0.5B-Instruct-abliterated-v3-GGUF,66,1154
huihui-ai/Huihui-MoE-46B-A14B-abliterated,NaN,NaN
M1LL1X/microsoft-phi-3_5-mini-trained-abliterated-QA-1960-all-modules-merged,3,11
Triangle104/gemma-3-4b-it-abliterated-Q5_K_M-GGUF,3,93
Free2035/Phi-4-freedom,1,57
Triangle104/aya-expanse-32b-abliterated-Q6_K-GGUF,6,192
Recouper/Josiefied-Qwen3-8B-abliterated-v1-Q6_K-GGUF,14,149
kuronekkko/Huihui-Qwen3-30B-A3B-Instruct-2507-abliterated-Q6_K-GGUF,20,235
Lewdiculous/Qwen2-7B-Instruct-abliterated-GGUF-IQ-Imatrix-Request,92,8838
freedom-4444/Real_Asian_Girls,0,0
RationallyPrime/Qwen-2.5-7b-instruct-abliterated,0,0
mradermacher/LLama-3.1-128k-Uncensored-Stheno-Maid-Blackroot-Grand-HORROR-16.5B-i1-GGUF,199,3946
gtallec/lora-r1-s1000-unfiltered-eot-fix,0,0
mradermacher/Astral-Cydonia-22B_abliterated-GGUF,1,1189
mradermacher/L3.1-Dark-Reasoning-Unholy-Hermes-R1-Uncensored-8B-i1-GGUF,139,7079
mradermacher/QwenLong-L1-32B-abliterated-i1-GGUF,293,7499
PrunaAI/netcat420-Qwen2.5-Coder-Scholar-7B-Abliterated-MFANN-bnb-8bit-smashed,NaN,NaN
QuantFactory/Ko-Llama-3.1-8B-Lexi-Uncensored-V2-GGUF,361,8933
Triangle104/nbeerbower-Mistral-Nemo-12B-abliterated-LORA,0,0
Alex01837178373/gemma-2-9b-it-abliterated-IQ4_NL-GGUF,20,270
kuronekkko/DeepSeek-R1-0528-Qwen3-8B-abliterated-Q8_0-GGUF,15,196
mradermacher/MedGPT-text-0707-abliterated-GGUF,13,206
PrunaAI/huihui-ai-EXAONE-3.5-2.4B-Instruct-abliterated-bnb-8bit-smashed,NaN,NaN
mradermacher/Huihui-SmolLM3-3B-abliterated-GGUF,106,1371
1lock/parler-tts-roleplay-v5,1,8
AI8191/phi-2-role-play,0,0
bartowski/Falcon3-7B-Instruct-abliterated-GGUF,187,8959
fuze-eletrik/llama-3.1-8B-lexi-uncensored-V2-sultao_dos_mene,0,0
SicariusSicariiStuff/Phi-3.5-mini-instruct_Uncensored-EXL2-8.0bpw,3,91
mradermacher/QwQ-32B-uncensored-i1-GGUF,97,2456
Triangle104/Huihui-MoE-24B-A8B-abliterated-Q3_K_S-GGUF,3,56
FreedomIntelligence/Apollo-6B,20,44414
Triangle104/thirdeyeai-Llama-3.2-3B-Instruct-uncensored-Q5_K_S-GGUF,3,185
Kfjjdjdjdhdhd/gemma-3-1b-pt-abliterated,4,103
cgifbribcgfbi/Llama-3.3-70B-Instruct-abliterated-finetuned-chemistry,1,4
PrunaAI/kabachuha-gemma-2-Ifable-9B-abliteration-improved-bnb-8bit-smashed,NaN,NaN
tastypear/RWKV-v5.2-7B-Role-play-16k-safetensors,0,0
rocknroll0000herewego/flux.1dev-abliteratedv2,2,46
Cshavi/de-alignment_llama-3.1-1b-28k,0,0
Triangle104/Qwen2.5-7B-Instruct-abliterated-v2-Q4_K_M-GGUF,241,937
DevQuasar/huihui-ai.Qwen3-0.6B-abliterated-GGUF,73,1939
TehVenom/MPT-7b-WizardLM_Uncensored-Storywriter-Merge,11,2680
mradermacher/Llama_3.x_70b_L3.3-Nemotron_abliterated_fusion-i1-GGUF,6,1539
huihui-ai/Seed-Coder-8B-Instruct-abliterated,NaN,NaN
cs2764/Qwen2.5-QwQ-37B-Eureka-Triple-Cubed-abliterated-uncensored-h-novel-Q4_K_M-GGUF,5,211
mradermacher/Llama-3-8B-Uncensored-0.6-i1-GGUF,87,2240
Rupesh2/Llama-3.1-Uncensored-New,3,164
mradermacher/DeepSeek-R1-Distill-Qwen-1.5B-abliterated-i1-GGUF,131,3241
Triangle104/granite-3.2-8b-instruct-abliterated-Q8_0-GGUF,2,77
nightmedia/Qwen3-1.7B-Nyx-abliterated-dwq8-mlx,NaN,NaN
Rushi2901/uncensored,3,61
QuantFactory/Qwen2.5-7B-Instruct-Uncensored-GGUF,2652,24235
itorgov/dippy-roleplay-1748213566-033851,0,6
CombinHorizon/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES,10,404
DavidAU/L3.1-Dark-Reasoning-LewdPlay-evo-Hermes-R1-Uncensored-8B,42,1742
Triangle104/gemma-3-12b-it-abliterated-Q8_0-GGUF,46,1006
mlabonne/Qwen3-4B-abliterated,287,7003
MaziyarPanahi/llama3-8B-DarkIdol-2.2-Uncensored-1048K-GGUF,58,4161
AlignmentResearch/robust_llm_oskar-037b_clf_jailbreaks_Qwen2.5-0.5B_s-1,NaN,NaN
mradermacher/Llama-3-8B-Lexi-Smaug-Uncensored-GGUF,226,12681
Triangle104/marco-o1-uncensored-Q6_K-GGUF,2,49
drmcbride/r1_qwen1.5b_abliteration_test-Q8_0-GGUF,5,250
Triangle104/Dolphin3.0-R1-Mistral-24B-abliterated-Q4_K_S-GGUF,15,164
SubtleOne/Qwen3-30B-A3B-abliterated-Q6_K-GGUF,8,526
mradermacher/Dirty-Shirley-v1-9B-Uncensored-TIES-GGUF,1159,2967
ibrahimkettaneh/QwQ-32B-Preview-abliterated-4.5bpw-h8-exl2,5,275
Bharatdeep-H/qwen3-jailbreaking-embeddings,3,39
mlabonne/gemma-3-27b-it-abliterated,191711,257001
itorgov/dippy-roleplay-1748594605-4320793,0,6
mradermacher/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES-GGUF,132,2168
Zoyd/mlabonne_NeuralDaredevil-8B-abliterated-6_5bpw_exl2,2,188
Triangle104/Huihui-Qwen3-0.6B-abliterated-v2-Q4_K_S-GGUF,5,56
Triangle104/Huihui-EXAONE-Deep-2.4B-abliterated-Q6_K-GGUF,4,89
M1LL1X/microsoft-phi-3_5-mini-trained-abliterated-QA-100-all-modules-merged,4,13
keisoft/dippy-roleplay-llama-v1.45,1,9
FreedomIntelligence/HuatuoGPT2-34B-8bits,4,328
Lucy-in-the-Sky/gemma-3-27b-it-abliterated-Q6_K-GGUF,20,265
anhnv125/pygmalion-6b-roleplay,1017,48937
Triangle104/L3.1-Dark-Reasoning-Celeste-V1.2-Hermes-R1-Uncensored-8B-Q5_K_M-GGUF,4,25
DevQuasar/mlabonne.gemma-3-4b-it-abliterated-v2-GGUF,48,1046
keisoft/dippy-roleplay-llama-v1.7-0-10,1,7
SicariusSicariiStuff/Phi-3.5-mini-instruct_Uncensored_GGUFs,194,4245
tebal91901/OpenThinker2-32B-abliterated,3,18
mradermacher/Doujinshi-14b-roleplay-i1-GGUF,2465,6079
LoneStriker/llama-3-70B-Instruct-abliterated-2.4bpw-h6-exl2,3,9
localmodels/WizardLM-7B-v1.0-Uncensored-GPTQ,6,291
tensorblock/mistral-7b-uncensored-GGUF,836,13436
ngxson/DeepSeek-R1-Distill-Qwen-7B-abliterated-GGUF,242,18247
BenevolenceMessiah/DeepSeek-R1-0528-Qwen3-8B-abliterated-TIES-v1.0,NaN,NaN
ndavidson/phi-3.1-abliterated,4,461
Dabitron/Qwen2-7B-Instruct-abliterated-Q5_K_S-GGUF,2,713
win10/GPT-OSS-26B-abliterated-Preview,12,256
DataAttributionEval/Llama-3.2-1B-JailbreakBench-Het,1,5
Evomind/Vecteus-v1-abliterated-Q8_0-GGUF,30,327
roy12715/RoleplayV2E6,0,8
burew/Mistral-Small-24B-Roleplay-V1,NaN,NaN
mradermacher/llama3.2_1b_2025_uncensored_v2-i1-GGUF,136,10585
TheBloke/Uncensored-Jordan-33B-AWQ,21,500
mradermacher/Qwen2.5-72B-Instruct-abliterated-GGUF,280,2200
ysn-rfd/Huihui-MoE-12B-A4B-abliterated-Q4_K_M-GGUF,6,224
huihui-ai/Huihui-Qwen3-4B-Instruct-2507-abliterated,844,8094
aifeifei798/DarkIdol-Llama-3.1-8B-Instruct-1.1-Uncensored,28,2847
PrunaAI/cognitivecomputations-Wizard-Vicuna-7B-Uncensored-HQQ-4bit-smashed,NaN,NaN
bartowski/Llama-3.1-8B-Lexi-Uncensored-V2-GGUF,3194,50639
Zoyd/TheSkullery_Aura-Llama-Abliterated-2_2bpw_exl2,4,13
Baidicoot/gemma-2b-jailbreak-RM,1,121
Triangle104/SmolLM2-1.7B-Instruct-Uncensored-Q5_K_M-GGUF,1,9
AlignmentResearch/robust_llm_oskar-057a_input_probe_jailbreaks_Qwen2.5-7B-Instruct_s-0_h-1000,NaN,NaN
Triangle104/Qwen2-VL-2B-Instruct-abliterated-Q4_K_S-GGUF,12,229
Triangle104/GLM-Z1-9B-0414-abliterated-Q4_K_M-GGUF,7,157
AlignmentResearch/robust_llm_oskar-036g_output_probe_jailbreaks_Qwen2.5-7B-Instruct_s-0,NaN,NaN
RichardErkhov/aspirina765_-_Daredevil-8B-abliterated-gguf,1,873
mradermacher/Qwen3-8B-abliterated-iSMART-i1-GGUF,72,2056
tensorblock/saishf_Aura-Uncensored-OAS-8B-L3-GGUF,47,1288
cgifbribcgfbi/Llama-3.3-70B-Instruct-abliterated-finetuned-chem-claude-1-comp3-sort-comp,0,4
TheBloke/SOLAR-10.7B-Instruct-v1.0-uncensored-GPTQ,14,3417
mradermacher/Gemma-2-9B-Uncensored-i1-GGUF,80,8802
Triangle104/Homunculus-abliterated-Q4_K_M-GGUF,34,84
Zoyd/mlabonne_NeuralDaredevil-8B-abliterated-3_0bpw_exl2,2,162
Triangle104/Josiefied-Qwen3-30B-A3B-abliterated-v2-Q5_K_M-GGUF,7,231
CuckmeisterFuller/DeepSeek-R1-Distill-Llama-8B-Abliterated-Q4-mlx,21,493
mradermacher/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated-GGUF,23,5477
Triangle104/Huihui-MoE-23B-A4B-abliterated-Q6_K-GGUF,2,52
mradermacher/WizardLM-7B-V1.0-Uncensored-i1-GGUF,227,3035
mradermacher/Hermes3-Lumimaid-uncensored-GGUF,28,2573
Orenguteng/Llama-3.1-8B-Lexi-Uncensored-GGUF,352,55381
RichardErkhov/mylesgoose_-_Meta-Llama-3-8B-Instruct-abliterated-gguf,2,1388
mradermacher/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated-GGUF,760,2964
Triangle104/Qwen2.5-14B-Instruct-abliterated-Q5_K_M-GGUF,18,120
mradermacher/SOLAR-10.7B-Instruct-v1.0-uncensored-GGUF,83,4206
mradermacher/DarkIdol-LongWriter-v2-8B-Uncensored-1048k-i1-GGUF,95,8981
PrunaAI/georgesung-llama2_7b_chat_uncensored-QUANTO-int4bit-smashed,NaN,NaN
itorgov/dippy-roleplay-1748134192-7997575,0,7
Triangle104/Phi-4-mini-reasoning-abliterated-Q6_K-GGUF,22,190
mradermacher/SzilviaB_DarkSlushNeuralDaredevil-8b-abliterated-i1-GGUF,2,1191
nicoboss/DeepSeek-V2-Lite-Chat-Uncensored-Unbiased-Reasoner-Lora,1,28
Novaciano/SEX_ROLEPLAY-3.2-1B-bnb-4bit,21,290
keisoft/dippy-roleplay-llama-v1.7-0-12,2,11
SicariusSicariiStuff/LLAMA-3_8B_Unaligned_BETA_EXL2-6.0-bpw,3,18
4bit/gpt4-x-alpaca-13b-roleplay-lora-4bit-v2,3,894
Triangle104/Qwen2.5-14B-Instruct-1M-abliterated-Q8_0-GGUF,6,217
PrunaAI/hooking-dev-Monah-8b-Uncensored-HQQ-1bit-smashed,NaN,NaN
braindao/DeepSeek-R1-Distill-Qwen-7B-ORPO-Uncensored,3,87
TheBloke/Uncensored-Frank-7B-AWQ,7,451
mradermacher/Lexi-Llama-3-8B-Uncensored-GGUF,181,4261
Cshavi/de-alignment_llama,0,0
madhurjindal/Jailbreak-Detector-Large,251,76005
mradermacher/DavidAU_Qwen2.5-QwQ-37B-Eureka-Triple-Cubed-abliterated-uncensored-H-noval-i1-GGUF,84,7431
jnjj/gemma-3-1b-it-qat-int4-quantized-inference-unrestricted-weights-only,4,104
brunopio/Qwen2.5-Coder-0.5B-Instruct-abliterated-nbits4-GSNone-Axis0-HQQ-T,2,9
mradermacher/Scifi-Roleplay-24B-v1.0-GGUF,336,1748
netcat420/MFANN-llama3.1-abliterated-SLERP-v3.1-Q5_K_M-GGUF,4,46
RichardErkhov/Fredithefish_-_Guanaco-3B-Uncensored-v2-awq,6,50
QuantFactory/llama3-8B-DarkIdol-2.3-Uncensored-32K-GGUF,752,7428
PrunaAI/failspy-Phi-3-mini-128k-instruct-abliterated-v3-HQQ-1bit-smashed,NaN,NaN
Triangle104/mlabonne_Qwen3-0.6B-abliterated-4_K_M-GGUF,3,63
mradermacher/Qwen2.5-Coder-3B-Instruct-abliterated-i1-GGUF,169,4463
mradermacher/Unaligned-Thinker-Llama3.1-8B-i1-GGUF,138,6498
bartowski/mlabonne_gemma-3-12b-it-abliterated-GGUF,7051,43887
Melvin56/DeepSeek-R1-Distill-Llama-8B-Enkrypt-Aligned-GGUF,40,940
jphme/phi-1_5_Wizard_Vicuna_uncensored,4,95217
FreedomIntelligence/HuatuoGPT-13b-delta,5,968
Novaciano/SEX_ROLEPLAY-3.2-1B-Q4_K_M-GGUF,120,6678
QuantFactory/llama2_7b_chat_uncensored-GGUF,123,5094
SicariusSicariiStuff/Phi-3.5-mini-instruct_Uncensored-EXL2-7.0bpw,5,95
RichardErkhov/huihui-ai_-_Llama-3.2-3B-Instruct-abliterated-4bits,2,9
s3nh/FreedomIntelligence-AceGPT-7B-GGUF,NaN,NaN
aashish1904/gemma-2-27b-it-abliterated-Q4_K_M-GGUF,88,373
emte/lora_lmlabonne_NeuralDaredevil-8B-abliterated-base,0,0
mradermacher/Llama_3.x_70b_DoppelGutenberg-L3.3_abliterated_fusion_v2-GGUF,0,485
Triangle104/L3.1-Dark-Reasoning-Unholy-Hermes-R1-Uncensored-8B-Q5_K_S-GGUF,3,67
s3nh/ajibawa-2023-Uncensored-Jordan-13B-GGUF,5,1279
nkpz/Llama-3.1-Tulu-3.1-8B-Uncensored-DeLMAT,4,197
Triangle104/Huihui-EXAONE-4.0-1.2B-abliterated-Q5_K_S-GGUF,6,63
paulh27/xsum_unaligned_largeT5,0,0
wyattjo116/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored-Q4_K_M-GGUF,70,3006
nicoboss/llama-3-experiment-v1-9B-Uncensored,0,0
venkycs/Llama-3.2-3B-Instruct-abliterated-v3,2,15
SujinHwang/criminal-sketch-kr-stable-diffusion,0,0
warshanks/Qwen3-1.7B-abliterated-AWQ,5,111
mradermacher/L3.1-MOE-8X8B-Dark-Planet-8D-Mirrored-Chaos-Uncensored-47B-i1-GGUF,265,8154
wolfofbackstreet/Qwen2.5-14B-Instruct-abliterated-SFT-int4-qptq-v1,1,11
Kfjjdjdjdhdhd/Gemma-3-4b-it-Uncensored-DBL-X-int8-quantized,0,0
usamakenway/Wizard-Vicuna-7B-Uncensored-SuperHOT-8K-AutoGPTQ,4,514
mradermacher/MFANN-Llama3.1-Abliterated-SLERP-TIES-V3-GGUF,18,1412
E-Hospital/Custom-Vicuna-13B-Uncensored,4,195
RichardErkhov/nothingiisreal_-_L3-8B-Instruct-Abliterated-DWP-gguf,32,3072
jackhhao/jailbreak-classifier,2874,5034103
ajibawa-2023/Uncensored-Jordan-33B,1114,28349
Nitrals-Loras/DeepseekR1-Distill-Uncensored-L3-8B-v0.3e1-lora,0,4
EleutherAI/neox-ckpt-deep-ignorance-pretraining-stage-unfiltered,0,0
mradermacher/Huihui-Hunyuan-MT-7B-abliterated-GGUF,233,4328
mlx-community/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1-float32,11,82291
TheBloke/CAMEL-13B-Role-Playing-Data-SuperHOT-8K-GPTQ,14,673
mradermacher/Mistral-MOE-4X7B-Dark-MultiVerse-Uncensored-Enhanced32-24B-GGUF,88,3238
tensorblock/Mistral-Small-24B-Instruct-2501-abliterated-GGUF,194,3400
roleplaiapp/DeepSeek-R1-Distill-Llama-70B-Uncensored-v2-Q5_K_M-GGUF,0,0
SzilviaB/SzilviaB_Astral-Cydonia-22B_abliterated_broken_but_in_a_nice_way,1,10
mlx-community/Josiefied-Qwen3-14B-abliterated-v3-6bit,34,644
Triangle104/L3.1-MOE-4X8B-Dark-Reasoning-Super-Nova-RP-Hermes-R1-Uncensored-25B-Q3_K_L-GGUF,2,78
diffnamehard/Mistral-CatMacaroni-slerp-uncensored-7B,12,16038
bartowski/Llama-3-8B-LexiFun-Uncensored-V1-AWQ,2,342
ZeroWw/gemma-2-2b-it-abliterated-GGUF,23,1936
jaahas/Qwen3-0.6B-abliterated-Q4_K_M-GGUF,48,204
Dogge/llama-3-70B-instruct-uncensored-lora,2,12990
itorgov/dippy-roleplay-1748040145-5653305,0,5
featherless-ai-quants/aifeifei799-Llama-3.1-8B-Instruct-Fei-v1-Uncensored-GGUF,30,1263
SickDodger/Mistral-7B-Instruct-v0.3-abliterated-Q6_K-GGUF,18,189
solidrust/Aura_Uncensored_l3_8B-AWQ,3,260
SkyNotion/gemma-2-9b-it-abliterated-Q4_K_M-GGUF,13,161
mradermacher/DeepSeek-R1-Distill-Qwen-1.5B-uncensored-i1-GGUF,240,8859
cs2764/Huihui-Qwen3-30B-A3B-Instruct-2507-abliterated-mlx-6Bit-gs32,38,497
ZeroWw/gemma-2-2b-it-abliterated-SILLY,7,641
Triangle104/QwQ-32B-abliterated-Q3_K_S-GGUF,4,57
uncensorie/chronob-70b,1,172
mradermacher/Qwen3-The-Josiefied-Omega-Directive-22B-uncensored-abliterated-GGUF,39,8026
cgifbribcgfbi/Llama-3.3-70B-Instruct-abliterated-finetuned-chemistry-70B-outputs,0,4
Paolo16/LLama-3-8B-uncensored-4bit,18,548
dievnquisher/phi-4-abliterated-Q4_K_M-GGUF,4,76
Qwe1325/Huihui-gemma-3n-E4B-it-abliterated-bnb-4bit,4,119
mradermacher/Meta-Llama-3.1-Chat-Uncensored-i1-GGUF,134,9805
ToastyPigeon/tq14-unalign-test-ws,3,30
numen-tech/Luna-AI-Llama2-Uncensored-w3a16g128asym,0,0
ethanlin/Roleplay-Llama-3-8B-neuron,0,0
mradermacher/L3.1-Dark-Planet-SpinFire-Uncensored-8B-GGUF,150,2123
mlx-community/GLM-4.5V-abliterated-3bit,2,39
QuantFactory/Qwen2.5-7B-Instruct-abliterated-v2-GGUF,2438,10919
RichardErkhov/huihui-ai_-_Qwen2.5-7B-Instruct-abliterated-gguf,84,3195
mradermacher/qwen2.5-1.5B-extended-refusal-2-0-abliterated-i1-GGUF,0,612
aifeifei798/llama3-8B-DarkIdol-2.1-Uncensored-32K,5,2002
mradermacher/Qwen2.5-Coder-0.5B-Instruct-abliterated-i1-GGUF,132,6034
panszymonkwi/Llama-3.2-3B-Uncensored-gguf,0,10
second-state/Llama-3.2-3B-Instruct-Uncensored-GGUF,132,1866
pradma/DeepSeek-R1-Distill-Llama-8B-abliterate-Q8_0-GGUF,21,222
nm-testing/Qwen3-32B-abliterated-awq-asym,1,43
mradermacher/SOLAR-10.7B-Instruct-v1.0-uncensored-i1-GGUF,187,8834
mradermacher/Magistral-Small-2506-abliterated-i1-GGUF,241,6038
FreedomIntelligence/LongLLaVAMed-9B,6,2580
Triangle104/Deep-Reasoning-Llama-3.2-Instruct-uncensored-3B-Q5_K_M-GGUF,12,264
RichardErkhov/M1LL1X_-_microsoft-phi-3_5-mini-trained-abliterated-QA-300-all-modules-merged-gguf,12,557
AlignmentResearch/robust_llm_dea7d56460b111efb0b91a79dd20f30c_from_rllm_pythia-14m_clf_spam_v-ian-082_s-0,NaN,NaN
Triangle104/Llama-3.2-3B-Instruct-abliterated-finetuned-Q5_K_S-GGUF,2,86
Triangle104/Dolphin3.0-Llama3.1-8B-abliterated-Q5_K_S-GGUF,8,98
mradermacher/Dirty-Shirley-Writer-v0-abliterated-GGUF,29,3582
bartowski/huihui-ai_Huihui-gemma-3n-E4B-it-abliterated-GGUF,2049,47906
mradermacher/collective-v0.1-chinese-roleplay-8b-GGUF,24,6318
mradermacher/Qwen3-14B-Uncensored-GGUF,1575,15113
mradermacher/DeepSeek-FreedomIntelligence_medical-o1-reasoning-SFT-GGUF,7,6061
RichardErkhov/ymcki_-_gemma-2-2b-jpn-it-abliterated-17-ORPO-awq,2,5
Triangle104/L3.1-Dark-Reasoning-Jamet-8B-MK.I-Hermes-R1-Uncensored-8B-Q4_K_M-GGUF,0,63
win10/GPT-OSS-26B-abliterated-Preview-Q4_K_M-GGUF,29,1033
PrunaAI/chuanli11-Llama-3.2-3B-Instruct-uncensored-HQQ-8bit-smashed,NaN,NaN
Triangle104/QwQ-32B-abliterated-Q8_0-GGUF,9,93
thanhhau097/roleplay-no-actions,0,77
Triangle104/Huihui-MoE-1.5B-A0.6B-abliterated-Q6_K-GGUF,2,92
featherless-ai-quants/aifeifei798-llama3-8B-DarkIdol-2.3-Uncensored-32K-GGUF,10,938
mradermacher/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated-DPO-GGUF,3,4519
mradermacher/Megatron-Opus-7B-Exp-Uncensored-DeLMAT-i1-GGUF,51,2341
Triangle104/Josiefied-Qwen3-4B-abliterated-v2-Q5_K_M-GGUF,7,109
matatonic/QwQ-32B-abliterated-4.25bpw-exl2,4,10
mradermacher/DeepSeek-R1-Qwen3-8B-abliterated-GGUF,49,4740
ymcki/gemma-2-2b-jpn-it-abliterated-24,4,332
keisoft/dippy-roleplay-llama-v07,1,8
huihui-ai/DeepSeek-R1-Distill-Qwen-1.5B-abliterated,77,13261
SicariusSicariiStuff/LLAMA-3_8B_Unaligned_Alpha_EXL2_8.0bpw,3,113
mradermacher/DevQuasar-R1-Uncensored-Llama-8B-i1-GGUF,120,5166
Deev124/hermes-llama3-roleplay-4000-v4,1,9
Triangle104/Arcee-Blitz-abliterated-Q5_K_S-GGUF,2,86
Goekdeniz-Guelmez/Josiefied-Qwen2.5-7B-Instruct-abliterated-v2,404,32826
matrixportalx/lenML-aya-expanse-8b-abliterated-GGUF,8,283
mradermacher/QwQ-32B-Instruct-abliterated-GGUF,134,1943
mlabonne/Qwen3-30B-A3B-abliterated,85,8072
bartowski/Qwen2.5-Coder-1.5B-Instruct-abliterated-GGUF,2408,13563
mradermacher/qwen2.5-3b-extended-refusal-4-21-abliterated-i1-GGUF,18,955
huihui-ai/Huihui-Jan-nano-abliterated,50,373
mradermacher/Josiefied-Qwen2.5-Coder-14B-Instruct-abliterated-v1-GGUF,109,1668
DevQuasar/prithivMLmods.Stablelm-3b-abliterated-GGUF,7,661
Triangle104/Phi-3.5-mini-instruct_Uncensored-Q5_K_M-GGUF,7,306
PandaTrainer/DeepSeek-R1-Distill-Qwen-14B-abliterated-v2-Q5_K_S-GGUF,0,100
syedaic/phi-4-abliterated-Q8_0-GGUF,72,3500
mlx-community/Qwen3-32B-abliterated-4bit,0,0
PrunaAI/Deev124-hermes-llama3-roleplay-1000-v8-bnb-8bit-smashed,NaN,NaN
unrestrictedai/my-embedding-gemma,1,50
mradermacher/L3.1-DarkIdol-Abliteration-i1-GGUF,10,1832
brunopio/Qwen2.5-Coder-0.5B-Instruct-abliterated-nbits4-GS64-Axis1-HQQ-T,1,40
SicariusSicariiStuff/Phi-3.5-mini-instruct_Uncensored,82,3601
mradermacher/DarkNeuralDaredevil-8b-abliterated-i1-GGUF,60,2161
netcat420/Qwen2.5-7B-nerd-uncensored-v0.9-MFANN-Q4_0-GGUF,5,1680
rupa1210/phi-2-role-play,0,0
pratt3000/Mistral-Nemo-2407-Role-Playing-Final-4data_lowlr,0,33
DavidAU/DeepSeek-V2-Grand-Horror-SMB-R1-Distill-Llama-3.1-Uncensored-16.5B-GGUF,257,15109
mlx-community/Qwen2-VL-7B-Instruct-abliterated-8bit,57,493
mradermacher/Phi-3.5-mini-instruct_Uncensored-GGUF,80,6579
Trojan9/mlp-jailbreak-detector,0,0
goldenp/DeepSeek-R1-Distill-Qwen-7B-abliterated-v2-Q4_K_M-GGUF,2,179
JCTN/FreedomRedmond,0,0
cgifbribcgfbi/Llama-3.3-70B-Instruct-abliterated-finetuned-chem-claude-1-comp0-sort-pat-5001c,0,1
mradermacher/Qwen3-0.6B-Medical-Expert-abliterated-GGUF,22,4073
PrunaAI/MrRobotoAI-8b-unaligned-BASE-v3g-bnb-8bit-smashed,NaN,NaN
jeffcookio/gemma-3-12b-it-abliterated-gptqmodel-4b-128g,283,444
PrunaAI/UnfilteredAI-UNfilteredAI-1B-GGUF-smashed,312,4850
RichardErkhov/Rupesh2_-_Llama-3.1-8b-Uncensored-Dare-gguf,20,2316
MarsupialAI/llama-3-70B-Instruct-abliterated_iMatrix_GGUF,23,5553
stepenZEN/DeepSeek-R1-Distill-Qwen-1.5B-Abliterated-dpo,6,853
mradermacher/llama-3-70B-uncensored-i1-GGUF,52,3246
